ProbeId	ProbeName	GeneSymbol	ENTREZID
1035495	A_24_P270814	CRK	1398
1039896	A_23_P83556	CRK	1398
1015216	CUST_30_PI416379584	C1orf146	388649
1015975	CUST_28_PI416573500	C1orf146	388649
1057261	A_23_P120056	RTKN	6242
1017193	CUST_16885_PI416261804	RTKN	6242
1043097	A_23_P503010	SLC24A4	123041
1011623	CUST_5837_PI416261804	SLC24A4	123041
1028060	A_32_P21474	IRAK1BP1	134728
1060191	CUST_997_PI416261804	IRAK1BP1	134728
1031351	A_24_P732099	HBBP1	3044
1059412	CUST_7222_PI416261804	HBBP1	3044
1015326	CUST_34_PI416379584	OR5K3	403277
1015035	CUST_32_PI416573500	OR5K3	403277
1016396	CUST_230_PI416379584	OR4A5	81318
1015904	CUST_224_PI416573500	OR4A5	81318
1036378	A_24_P258235	OR5L2	26338
1028311	CUST_839_PI416261804	OR5L2	26338
1054525	A_23_P142974	ARHGAP25	9938
1012975	CUST_4887_PI416261804	ARHGAP25	9938
1034767	A_24_P342632	AK5	26289
1051845	A_23_P200015	AK5	26289
1056259	A_23_P126167	KCNN3	3782
1019199	CUST_15116_PI416261804	KCNN3	3782
1019200	CUST_15115_PI416261804	KCNN3	3782
1046680	A_23_P3527	POLR2C	5432
1020540	CUST_13463_PI416261804	POLR2C	5432
1051574	A_23_P204304	PTPRO	5800
1019256	CUST_14883_PI416261804	PTPRO	5800
1019756	CUST_14905_PI416261804	PTPRO	5800
1055454	A_23_P131866	AURKA	6790
1046652	A_23_P35349	SVIL	6840
1033349	A_24_P38446	CCAR2	57805
1037461	A_24_P205268	KHNYN	23351
1039438	A_23_P89159	EXOC7	23265
1039437	A_23_P89163	EXOC7	23265
1047831	A_23_P316064	ZACN	353174
1058544	A_23_P100556	EXOC7	23265
1050601	A_23_P211302	WDR4	10785
1054288	A_23_P143535	WDR4	10785
1019600	CUST_1506_PI416261804	WDR4	10785
1038667	A_24_P137897	IFRD1	3475
1013585	CUST_45_PI416379584	OR5H15	403274
1014374	CUST_42_PI416573500	OR5H15	403274
1013893	CUST_412_PI416379584	OR5L1	219437
1014096	CUST_403_PI416573500	OR5L1	219437
1048055	A_23_P32558	WDR5	11091
1017448	CUST_16737_PI416261804	WDR5	11091
1057276	A_23_P11984	SLC6A9	6536
1060083	CUST_9875_PI416261804	SLC6A9	6536
1019758	CUST_14903_PI416261804	PTPRO	5800
1039998	A_23_P91900	SMC4	10051
1049049	A_23_P256158	ADRA2C	152
1018151	CUST_16013_PI416261804	ADRA2C	152
1044987	A_23_P398515	PKMYT1	9088
1022188	CUST_12670_PI416261804	MAGEC3	139081
1053634	A_23_P157580	SDCBP	6386
1038273	A_24_P161973	ATP11A	23250
1038104	A_24_P143599	ATP11A	23250
1046493	A_23_P370625	SELENON	57190
1036323	A_24_P231250	SELENON	57190
1033155	A_24_P389409	BMP1	649
1031848	A_24_P60930	BMP1	649
1042009	A_23_P63209	HSD11B1	3290
1017925	CUST_16714_PI416261804	HSD11B1	3290
1034188	A_24_P34186	DMD	1756
